RBP,module
ENSG00000065457,ME11
ENSG00000087274,ME11
ENSG00000011243,ME11
ENSG00000095139,ME11
ENSG00000143761,ME11
ENSG00000179218,ME11
ENSG00000110888,ME11
ENSG00000110104,ME11
ENSG00000179604,ME11
ENSG00000065883,ME11
ENSG00000118197,ME11
ENSG00000124795,ME11
ENSG00000101191,ME11
ENSG00000086189,ME11
ENSG00000125821,ME11
ENSG00000184110,ME11
ENSG00000151247,ME11
ENSG00000126749,ME11
ENSG00000117419,ME11
ENSG00000169612,ME11
ENSG00000234545,ME11
ENSG00000105058,ME11
ENSG00000145982,ME11
ENSG00000160752,ME11
ENSG00000109536,ME11
ENSG00000075618,ME11
ENSG00000140718,ME11
ENSG00000089597,ME11
ENSG00000076650,ME11
ENSG00000189369,ME11
ENSG00000125651,ME11
ENSG00000143321,ME11
ENSG00000189403,ME11
ENSG00000177733,ME11
ENSG00000080824,ME11
ENSG00000166598,ME11
ENSG00000109971,ME11
ENSG00000185745,ME11
ENSG00000177606,ME11
ENSG00000100441,ME11
ENSG00000172086,ME11
ENSG00000139233,ME11
ENSG00000130764,ME11
ENSG00000108829,ME11
ENSG00000145050,ME11
ENSG00000101367,ME11
ENSG00000169057,ME11
ENSG00000145388,ME11
ENSG00000165819,ME11
ENSG00000176624,ME11
ENSG00000133606,ME11
ENSG00000155363,ME11
ENSG00000106591,ME11
ENSG00000243927,ME11
ENSG00000188613,ME11
ENSG00000114503,ME11
ENSG00000160194,ME11
ENSG00000182768,ME11
ENSG00000182117,ME11
ENSG00000106133,ME11
ENSG00000198585,ME11
ENSG00000173598,ME11
ENSG00000185624,ME11
ENSG00000169564,ME11
ENSG00000155660,ME11
ENSG00000089220,ME11
ENSG00000162517,ME11
ENSG00000164902,ME11
ENSG00000100227,ME11
ENSG00000172336,ME11
ENSG00000166794,ME11
ENSG00000185246,ME11
ENSG00000162437,ME11
ENSG00000179837,ME11
ENSG00000173933,ME11
ENSG00000173914,ME11
ENSG00000076067,ME11
ENSG00000134597,ME11
ENSG00000135870,ME11
ENSG00000109475,ME11
ENSG00000163902,ME11
ENSG00000105193,ME11
ENSG00000125844,ME11
ENSG00000124541,ME11
ENSG00000132275,ME11
ENSG00000111011,ME11
ENSG00000188643,ME11
ENSG00000126461,ME11
ENSG00000142864,ME11
ENSG00000143368,ME11
ENSG00000169976,ME11
ENSG00000073584,ME11
ENSG00000104852,ME11
ENSG00000196141,ME11
ENSG00000115306,ME11
ENSG00000151304,ME11
ENSG00000124214,ME11
ENSG00000105705,ME11
ENSG00000116030,ME11
ENSG00000135316,ME11
ENSG00000120948,ME11
ENSG00000129566,ME11
ENSG00000054118,ME11
ENSG00000173366,ME11
ENSG00000239732,ME11
ENSG00000132109,ME11
ENSG00000087077,ME11
ENSG00000188229,ME11
ENSG00000150991,ME11
ENSG00000185651,ME11
ENSG00000005007,ME11
ENSG00000132467,ME11
ENSG00000165280,ME11
ENSG00000146457,ME11
ENSG00000065978,ME11
ENSG00000170027,ME11
ENSG00000121766,ME11
ENSG00000131732,ME11
ENSG00000103994,ME11
ENSG00000113761,ME11
ENSG00000169249,ME11
ENSG00000159840,ME11
ENSG00000124942,ME12
ENSG00000185567,ME12
ENSG00000149925,ME12
ENSG00000135046,ME12
ENSG00000182718,ME12
ENSG00000214944,ME12
ENSG00000141582,ME12
ENSG00000170004,ME12
ENSG00000159176,ME12
ENSG00000109832,ME12
ENSG00000184110,ME12
ENSG00000114867,ME12
ENSG00000163577,ME12
ENSG00000107105,ME12
ENSG00000103067,ME12
ENSG00000048828,ME12
ENSG00000140718,ME12
ENSG00000173230,ME12
ENSG00000196591,ME12
ENSG00000115677,ME12
ENSG00000106211,ME12
ENSG00000100097,ME12
ENSG00000131914,ME12
ENSG00000130332,ME12
ENSG00000047849,ME12
ENSG00000152601,ME12
ENSG00000139793,ME12
ENSG00000145388,ME12
ENSG00000165819,ME12
ENSG00000147065,ME12
ENSG00000147649,ME12
ENSG00000100345,ME12
ENSG00000173559,ME12
ENSG00000140939,ME12
ENSG00000113580,ME12
ENSG00000106133,ME12
ENSG00000179299,ME12
ENSG00000165609,ME12
ENSG00000185624,ME12
ENSG00000121274,ME12
ENSG00000178209,ME12
ENSG00000147596,ME12
ENSG00000106246,ME12
ENSG00000185129,ME12
ENSG00000131759,ME12
ENSG00000076067,ME12
ENSG00000131378,ME12
ENSG00000116251,ME12
ENSG00000132275,ME12
ENSG00000020577,ME12
ENSG00000104112,ME12
ENSG00000115875,ME12
ENSG00000206557,ME12
ENSG00000026025,ME12
ENSG00000146457,ME12
ENSG00000185650,ME12
ENSG00000124201,ME12
ENSG00000065457,ME13
ENSG00000143761,ME13
ENSG00000135387,ME13
ENSG00000110104,ME13
ENSG00000065883,ME13
ENSG00000123136,ME13
ENSG00000118197,ME13
ENSG00000124795,ME13
ENSG00000086189,ME13
ENSG00000180574,ME13
ENSG00000184110,ME13
ENSG00000234545,ME13
ENSG00000105058,ME13
ENSG00000145982,ME13
ENSG00000160752,ME13
ENSG00000075618,ME13
ENSG00000140718,ME13
ENSG00000177885,ME13
ENSG00000030582,ME13
ENSG00000100226,ME13
ENSG00000143321,ME13
ENSG00000177733,ME13
ENSG00000100441,ME13
ENSG00000139233,ME13
ENSG00000124831,ME13
ENSG00000145388,ME13
ENSG00000165819,ME13
ENSG00000166902,ME13
ENSG00000106591,ME13
ENSG00000112996,ME13
ENSG00000147065,ME13
ENSG00000188613,ME13
ENSG00000160194,ME13
ENSG00000182117,ME13
ENSG00000113580,ME13
ENSG00000106133,ME13
ENSG00000173598,ME13
ENSG00000083635,ME13
ENSG00000108256,ME13
ENSG00000185624,ME13
ENSG00000059378,ME13
ENSG00000169564,ME13
ENSG00000106246,ME13
ENSG00000196396,ME13
ENSG00000173933,ME13
ENSG00000173914,ME13
ENSG00000105193,ME13
ENSG00000132275,ME13
ENSG00000143368,ME13
ENSG00000169976,ME13
ENSG00000115306,ME13
ENSG00000151304,ME13
ENSG00000105705,ME13
ENSG00000135316,ME13
ENSG00000083544,ME13
ENSG00000132109,ME13
ENSG00000121060,ME13
ENSG00000177889,ME13
ENSG00000132467,ME13
ENSG00000146457,ME13
ENSG00000113761,ME13
ENSG00000169249,ME13
ENSG00000108270,ME14
ENSG00000100813,ME14
ENSG00000160710,ME14
ENSG00000065457,ME14
ENSG00000087274,ME14
ENSG00000124942,ME14
ENSG00000121057,ME14
ENSG00000105127,ME14
ENSG00000011243,ME14
ENSG00000149925,ME14
ENSG00000100601,ME14
ENSG00000091542,ME14
ENSG00000137760,ME14
ENSG00000179750,ME14
ENSG00000128394,ME14
ENSG00000095139,ME14
ENSG00000143761,ME14
ENSG00000196843,ME14
ENSG00000148090,ME14
ENSG00000076108,ME14
ENSG00000137656,ME14
ENSG00000175573,ME14
ENSG00000100802,ME14
ENSG00000146540,ME14
ENSG00000179218,ME14
ENSG00000110619,ME14
ENSG00000141582,ME14
ENSG00000141570,ME14
ENSG00000007080,ME14
ENSG00000110104,ME14
ENSG00000179604,ME14
ENSG00000065883,ME14
ENSG00000173575,ME14
ENSG00000160679,ME14
ENSG00000184220,ME14
ENSG00000155508,ME14
ENSG00000168275,ME14
ENSG00000149532,ME14
ENSG00000099942,ME14
ENSG00000101138,ME14
ENSG00000177613,ME14
ENSG00000176102,ME14
ENSG00000163510,ME14
ENSG00000172795,ME14
ENSG00000079785,ME14
ENSG00000157349,ME14
ENSG00000174243,ME14
ENSG00000089737,ME14
ENSG00000118197,ME14
ENSG00000124795,ME14
ENSG00000108771,ME14
ENSG00000131504,ME14
ENSG00000101191,ME14
ENSG00000086189,ME14
ENSG00000144535,ME14
ENSG00000104129,ME14
ENSG00000125821,ME14
ENSG00000144048,ME14
ENSG00000144635,ME14
ENSG00000107223,ME14
ENSG00000132394,ME14
ENSG00000176927,ME14
ENSG00000175376,ME14
ENSG00000119718,ME14
ENSG00000143486,ME14
ENSG00000125977,ME14
ENSG00000180574,ME14
ENSG00000107581,ME14
ENSG00000184110,ME14
ENSG00000205609,ME14
ENSG00000106682,ME14
ENSG00000100664,ME14
ENSG00000066044,ME14
ENSG00000126749,ME14
ENSG00000132591,ME14
ENSG00000117419,ME14
ENSG00000182944,ME14
ENSG00000223496,ME14
ENSG00000169612,ME14
ENSG00000184083,ME14
ENSG00000234545,ME14
ENSG00000105058,ME14
ENSG00000145982,ME14
ENSG00000160752,ME14
ENSG00000109536,ME14
ENSG00000140718,ME14
ENSG00000164347,ME14
ENSG00000173230,ME14
ENSG00000076650,ME14
ENSG00000186566,ME14
ENSG00000068394,ME14
ENSG00000177885,ME14
ENSG00000189369,ME14
ENSG00000197265,ME14
ENSG00000125651,ME14
ENSG00000145736,ME14
ENSG00000100226,ME14
ENSG00000172432,ME14
ENSG00000112855,ME14
ENSG00000143321,ME14
ENSG00000231834,ME14
ENSG00000229215,ME14
ENSG00000206503,ME14
ENSG00000223980,ME14
ENSG00000227715,ME14
ENSG00000235657,ME14
ENSG00000224320,ME14
ENSG00000206505,ME14
ENSG00000189403,ME14
ENSG00000198157,ME14
ENSG00000177733,ME14
ENSG00000169813,ME14
ENSG00000080824,ME14
ENSG00000166598,ME14
ENSG00000109971,ME14
ENSG00000106211,ME14
ENSG00000102241,ME14
ENSG00000167862,ME14
ENSG00000129351,ME14
ENSG00000132305,ME14
ENSG00000106348,ME14
ENSG00000177606,ME14
ENSG00000100441,ME14
ENSG00000172086,ME14
ENSG00000139233,ME14
ENSG00000124831,ME14
ENSG00000181817,ME14
ENSG00000155858,ME14
ENSG00000047849,ME14
ENSG00000101367,ME14
ENSG00000169057,ME14
ENSG00000146834,ME14
ENSG00000145388,ME14
ENSG00000165819,ME14
ENSG00000176624,ME14
ENSG00000140259,ME14
ENSG00000148773,ME14
ENSG00000133606,ME14
ENSG00000155363,ME14
ENSG00000129282,ME14
ENSG00000159111,ME14
ENSG00000180992,ME14
ENSG00000106591,ME14
ENSG00000116221,ME14
ENSG00000135900,ME14
ENSG00000183617,ME14
ENSG00000112996,ME14
ENSG00000243927,ME14
ENSG00000147065,ME14
ENSG00000103248,ME14
ENSG00000188613,ME14
ENSG00000114503,ME14
ENSG00000124160,ME14
ENSG00000160194,ME14
ENSG00000182768,ME14
ENSG00000182117,ME14
ENSG00000111641,ME14
ENSG00000101361,ME14
ENSG00000196943,ME14
ENSG00000113580,ME14
ENSG00000126653,ME14
ENSG00000106133,ME14
ENSG00000241058,ME14
ENSG00000198585,ME14
ENSG00000173598,ME14
ENSG00000083635,ME14
ENSG00000108256,ME14
ENSG00000137804,ME14
ENSG00000185624,ME14
ENSG00000120727,ME14
ENSG00000166889,ME14
ENSG00000169564,ME14
ENSG00000106244,ME14
ENSG00000155660,ME14
ENSG00000089220,ME14
ENSG00000162517,ME14
ENSG00000108518,ME14
ENSG00000100941,ME14
ENSG00000100227,ME14
ENSG00000172336,ME14
ENSG00000130810,ME14
ENSG00000166794,ME14
ENSG00000128563,ME14
ENSG00000117360,ME14
ENSG00000134186,ME14
ENSG00000185246,ME14
ENSG00000106246,ME14
ENSG00000196396,ME14
ENSG00000185129,ME14
ENSG00000146676,ME14
ENSG00000179912,ME14
ENSG00000125970,ME14
ENSG00000131759,ME14
ENSG00000161847,ME14
ENSG00000162437,ME14
ENSG00000182872,ME14
ENSG00000183808,ME14
ENSG00000162775,ME14
ENSG00000179837,ME14
ENSG00000086589,ME14
ENSG00000184863,ME14
ENSG00000132819,ME14
ENSG00000173933,ME14
ENSG00000089682,ME14
ENSG00000184898,ME14
ENSG00000155636,ME14
ENSG00000173914,ME14
ENSG00000076067,ME14
ENSG00000134597,ME14
ENSG00000135870,ME14
ENSG00000205937,ME14
ENSG00000164610,ME14
ENSG00000197958,ME14
ENSG00000131469,ME14
ENSG00000109475,ME14
ENSG00000136942,ME14
ENSG00000163923,ME14
ENSG00000163902,ME14
ENSG00000134419,ME14
ENSG00000105193,ME14
ENSG00000132275,ME14
ENSG00000111011,ME14
ENSG00000031698,ME14
ENSG00000156304,ME14
ENSG00000142864,ME14
ENSG00000099995,ME14
ENSG00000143368,ME14
ENSG00000169976,ME14
ENSG00000116560,ME14
ENSG00000163950,ME14
ENSG00000005022,ME14
ENSG00000073584,ME14
ENSG00000116698,ME14
ENSG00000163877,ME14
ENSG00000104852,ME14
ENSG00000182004,ME14
ENSG00000224543,ME14
ENSG00000151304,ME14
ENSG00000161547,ME14
ENSG00000116350,ME14
ENSG00000124193,ME14
ENSG00000271885,ME14
ENSG00000180771,ME14
ENSG00000124214,ME14
ENSG00000105705,ME14
ENSG00000064607,ME14
ENSG00000116030,ME14
ENSG00000148296,ME14
ENSG00000135316,ME14
ENSG00000120948,ME14
ENSG00000100207,ME14
ENSG00000083544,ME14
ENSG00000129566,ME14
ENSG00000054118,ME14
ENSG00000173366,ME14
ENSG00000239732,ME14
ENSG00000101150,ME14
ENSG00000132109,ME14
ENSG00000121060,ME14
ENSG00000169871,ME14
ENSG00000087077,ME14
ENSG00000188229,ME14
ENSG00000150991,ME14
ENSG00000185651,ME14
ENSG00000005007,ME14
ENSG00000169062,ME14
ENSG00000156697,ME14
ENSG00000147679,ME14
ENSG00000132467,ME14
ENSG00000084463,ME14
ENSG00000141499,ME14
ENSG00000146457,ME14
ENSG00000134684,ME14
ENSG00000065978,ME14
ENSG00000196449,ME14
ENSG00000149658,ME14
ENSG00000170027,ME14
ENSG00000163874,ME14
ENSG00000123200,ME14
ENSG00000130749,ME14
ENSG00000121766,ME14
ENSG00000131732,ME14
ENSG00000139168,ME14
ENSG00000152518,ME14
ENSG00000103994,ME14
ENSG00000113761,ME14
ENSG00000173545,ME14
ENSG00000169249,ME14
ENSG00000159840,ME14
ENSG00000198791,ME15
ENSG00000151247,ME15
ENSG00000140718,ME15
ENSG00000138646,ME15
ENSG00000129250,ME15
ENSG00000145388,ME15
ENSG00000165819,ME15
ENSG00000136243,ME15
ENSG00000168002,ME15
ENSG00000179988,ME15
ENSG00000135269,ME15
ENSG00000164548,ME15
ENSG00000146457,ME15
ENSG00000185567,ME16
ENSG00000165733,ME16
ENSG00000110104,ME16
ENSG00000082258,ME16
ENSG00000119812,ME16
ENSG00000140718,ME16
ENSG00000068097,ME16
ENSG00000129250,ME16
ENSG00000108829,ME16
ENSG00000145388,ME16
ENSG00000165819,ME16
ENSG00000185246,ME16
ENSG00000100401,ME16
ENSG00000126254,ME16
ENSG00000076067,ME16
ENSG00000148300,ME16
ENSG00000115306,ME16
ENSG00000124214,ME16
ENSG00000188229,ME16
ENSG00000146457,ME16
ENSG00000184110,ME17
ENSG00000140718,ME17
ENSG00000145388,ME17
ENSG00000165819,ME17
ENSG00000147065,ME17
ENSG00000163386,ME17
ENSG00000196396,ME17
ENSG00000184898,ME17
ENSG00000146457,ME17
ENSG00000123200,ME17
ENSG00000021776,ME18
ENSG00000104313,ME18
ENSG00000140718,ME18
ENSG00000145388,ME18
ENSG00000165819,ME18
ENSG00000135372,ME18
ENSG00000117523,ME18
ENSG00000172733,ME18
ENSG00000162244,ME18
ENSG00000146457,ME18
ENSG00000082258,ME19
ENSG00000136026,ME19
ENSG00000123064,ME19
ENSG00000119812,ME19
ENSG00000169710,ME19
ENSG00000075618,ME19
ENSG00000140718,ME19
ENSG00000129250,ME19
ENSG00000145388,ME19
ENSG00000165819,ME19
ENSG00000181588,ME19
ENSG00000106133,ME19
ENSG00000108518,ME19
ENSG00000185246,ME19
ENSG00000196396,ME19
ENSG00000156482,ME19
ENSG00000171863,ME19
ENSG00000125844,ME19
ENSG00000115310,ME19
ENSG00000126461,ME19
ENSG00000070366,ME19
ENSG00000115306,ME19
ENSG00000124214,ME19
ENSG00000079134,ME19
ENSG00000146457,ME19
ENSG00000218891,ME19
ENSG00000140718,ME2
ENSG00000145388,ME2
ENSG00000165819,ME2
ENSG00000168002,ME2
ENSG00000135269,ME2
ENSG00000146457,ME2
ENSG00000140350,ME20
ENSG00000100201,ME20
ENSG00000109606,ME20
ENSG00000140718,ME20
ENSG00000143889,ME20
ENSG00000100294,ME20
ENSG00000145388,ME20
ENSG00000165819,ME20
ENSG00000135097,ME20
ENSG00000168002,ME20
ENSG00000118181,ME20
ENSG00000171863,ME20
ENSG00000154548,ME20
ENSG00000112081,ME20
ENSG00000115875,ME20
ENSG00000079134,ME20
ENSG00000136527,ME20
ENSG00000146457,ME20
ENSG00000091542,ME21
ENSG00000128394,ME21
ENSG00000170727,ME21
ENSG00000175573,ME21
ENSG00000146540,ME21
ENSG00000110619,ME21
ENSG00000141582,ME21
ENSG00000183741,ME21
ENSG00000172346,ME21
ENSG00000176102,ME21
ENSG00000142544,ME21
ENSG00000128191,ME21
ENSG00000161326,ME21
ENSG00000104529,ME21
ENSG00000108883,ME21
ENSG00000149100,ME21
ENSG00000223496,ME21
ENSG00000120699,ME21
ENSG00000140718,ME21
ENSG00000196591,ME21
ENSG00000177733,ME21
ENSG00000106211,ME21
ENSG00000177606,ME21
ENSG00000166173,ME21
ENSG00000164167,ME21
ENSG00000134046,ME21
ENSG00000145388,ME21
ENSG00000165819,ME21
ENSG00000181588,ME21
ENSG00000129282,ME21
ENSG00000086504,ME21
ENSG00000198015,ME21
ENSG00000188613,ME21
ENSG00000106133,ME21
ENSG00000121274,ME21
ENSG00000178209,ME21
ENSG00000166794,ME21
ENSG00000196504,ME21
ENSG00000106246,ME21
ENSG00000185129,ME21
ENSG00000125970,ME21
ENSG00000114391,ME21
ENSG00000109475,ME21
ENSG00000020577,ME21
ENSG00000031698,ME21
ENSG00000072756,ME21
ENSG00000188229,ME21
ENSG00000136709,ME21
ENSG00000146457,ME21
ENSG00000149658,ME21
ENSG00000185650,ME21
ENSG00000218891,ME21
ENSG00000167962,ME21
ENSG00000160710,ME22
ENSG00000060339,ME22
ENSG00000172586,ME22
ENSG00000080802,ME22
ENSG00000119203,ME22
ENSG00000174177,ME22
ENSG00000100201,ME22
ENSG00000109606,ME22
ENSG00000140718,ME22
ENSG00000145388,ME22
ENSG00000165819,ME22
ENSG00000167005,ME22
ENSG00000132424,ME22
ENSG00000164985,ME22
ENSG00000111011,ME22
ENSG00000115524,ME22
ENSG00000106028,ME22
ENSG00000064607,ME22
ENSG00000113649,ME22
ENSG00000146457,ME22
ENSG00000133858,ME22
ENSG00000075292,ME22
ENSG00000122359,ME23
ENSG00000140718,ME23
ENSG00000189403,ME23
ENSG00000185745,ME23
ENSG00000145388,ME23
ENSG00000165819,ME23
ENSG00000136243,ME23
ENSG00000168002,ME23
ENSG00000073584,ME23
ENSG00000181449,ME23
ENSG00000112081,ME23
ENSG00000188612,ME23
ENSG00000135269,ME23
ENSG00000136527,ME23
ENSG00000146457,ME23
ENSG00000108270,ME25
ENSG00000065457,ME25
ENSG00000124942,ME25
ENSG00000105127,ME25
ENSG00000011243,ME25
ENSG00000149925,ME25
ENSG00000137760,ME25
ENSG00000132466,ME25
ENSG00000179750,ME25
ENSG00000095139,ME25
ENSG00000143761,ME25
ENSG00000076108,ME25
ENSG00000141570,ME25
ENSG00000065883,ME25
ENSG00000173575,ME25
ENSG00000184220,ME25
ENSG00000163510,ME25
ENSG00000138231,ME25
ENSG00000162290,ME25
ENSG00000172795,ME25
ENSG00000157349,ME25
ENSG00000118197,ME25
ENSG00000131504,ME25
ENSG00000101191,ME25
ENSG00000144048,ME25
ENSG00000179151,ME25
ENSG00000132394,ME25
ENSG00000175376,ME25
ENSG00000145191,ME25
